solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,weight_name,weight_idx,scale,weight_value
auc,30,20,0,,True,0.5,0,0.0,1.0,7.61171066877756,0.9238828933122244,183.2355212313493,10.0,0.21628036232960784,0.2905071075487562,163,21.1,20.0,312,19.797620625550284,18.30541377122146,6.822435900689109e-06,7.740220265378693,0.0,2.743353783231084,3.3067484662576687,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,1,20,0,,True,0.5,0,0.0,1.0,9.586835124858107,0.9041316487514189,178.8126513026955,8.187135740056435,0.19114511122864908,0.2509927449404233,136,19.700000000000003,20.0,289,20.05115646805317,18.757285842072417,7.078546747604746e-06,7.814008466099244,0.0,3.4742647058823533,4.5588235294117645,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,2,20,0,,True,0.5,0,0.0,1.0,9.806921686406389,0.9019307831359361,170.65268291208366,6.929193358741448,0.2359988706060216,0.35931054441856564,158,20.6,20.0,307,19.432592071237753,17.652135327831505,7.210097778876727e-06,7.7946111393553155,0.0,4.233122362869198,4.60126582278481,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,3,20,0,,True,0.5,0,0.0,1.0,9.496822679256434,0.9050317732074357,169.30154488989996,10.0,0.13910575717979795,0.21726879507630345,165,21.700000000000003,20.0,318,19.625831812434882,18.635617891493656,6.742138565121125e-06,7.866286592740914,0.0,2.902020202020202,3.6606060606060606,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,4,20,0,,True,0.5,0,0.0,1.0,8.962895759431333,0.9103710424056867,172.009138690258,6.995565928060085,0.3005810436907588,0.4446267794322749,181,22.3,20.0,336,18.420467869928377,15.248662097428328,6.943452382031301e-06,7.737924218803046,0.0,3.1721915285451194,3.5801104972375692,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,5,20,0,,True,0.5,0,0.0,1.0,9.409350000891692,0.9059064999910831,164.0300766100102,9.927322461848517,0.14417404334055228,0.2437925070529019,153,20.3,20.0,304,19.461639060266222,18.287310054993227,6.864473813325994e-06,7.841818266885154,0.0,2.5599128540305007,3.084967320261438,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,6,20,0,,True,0.5,0,0.0,1.0,8.89786032231228,0.9110213967768772,170.53703979065966,7.764655872606423,0.20054132690645388,0.32157787220166467,150,20.200000000000003,20.0,303,19.633515723931744,17.685194044772203,7.168646724533487e-06,7.788389277223786,0.0,2.451111111111111,3.2266666666666666,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,7,20,0,,True,0.5,0,0.0,1.0,9.774455757741606,0.9022554424225839,181.96067031714844,8.958026754820025,0.23296357649665045,0.2837511048247989,145,20.6,20.0,307,20.05287748368762,18.866283021218724,6.854071711108137e-06,7.7784049136967575,0.0,3.1011494252873564,3.7448275862068967,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,8,20,0,,True,0.5,0,0.0,1.0,10.418728007037792,0.8958127199296221,180.14116798893815,8.26384030722736,0.20312550423391268,0.2628521208392882,141,20.6,20.0,298,20.146145776637187,18.943014507196462,7.153691299300291e-06,7.811990881660625,0.0,3.882978723404255,5.120567375886525,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,9,20,0,,True,0.5,0,0.0,1.0,7.649054868259652,0.9235094513174035,171.66468258466148,6.993607560899634,0.2100828787330719,0.3199556871221989,157,20.6,20.0,309,19.223963997250433,16.831530104599803,6.955987041059604e-06,7.796774442486219,0.0,2.357749469214437,3.3184713375796178,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,10,20,0,,True,0.5,0,0.0,1.0,7.709927490223423,0.9229007250977658,172.5480300009993,7.964619676464885,0.2272072334111689,0.32080300908792736,152,19.900000000000002,20.0,301,19.61572453492759,17.9853021473882,7.127574732004235e-06,7.80096138083475,0.0,1.944078947368421,2.4210526315789473,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,11,20,0,,True,0.5,0,0.0,1.0,9.044965941111771,0.9095503405888823,171.18711391844644,8.947602865002391,0.18429340427172747,0.2744164252704715,155,21.400000000000002,20.0,311,19.372387637417056,17.395799752535577,6.8668810398223544e-06,7.826072461526874,0.0,3.0951612903225807,4.012903225806451,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,12,20,0,,True,0.5,0,0.0,1.0,11.221058599993029,0.8877894140000697,167.4550674212678,8.2657390885073,0.1903283092213809,0.2573064639399551,151,21.1,20.0,304,19.870229869809997,18.47672072784763,6.884539408546468e-06,7.8406846081814265,0.0,4.321192052980132,4.490066225165563,nan,nan,1.0,30,30,acc,0,1.0,0.2
auc,13,20,0,,True,0.5,0,0.0,1.0,7.33603383880671,0.9266396616119329,170.79708477982234,8.111400016175148,0.19266711586664795,0.32648650124193707,158,22.1,20.0,322,19.048237080419227,17.1418462750934,6.770496940408741e-06,7.720153640281912,0.0,2.6951476793248945,3.607594936708861,nan,nan,1.0,30,30,acc,0,1.0,0.2
