solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn
idm_mobil,30,4,0,,True,0.5,0,0.0,1.0,0.6440422872963092,0.9935595771270369,166.02533384449927,6.490944229751493,0.27414912552606363,0.4119775961684743,78,12.700000000000001,4.0,243,17.866322253623913,15.651001223168121,0.0,0.0,0.0,nan,nan,nan,nan,1.0,30,30,C1_idm_mobil,4
auc,1,4,0,,False,0.5,0,0.0,1.0,3.240489804465696,0.967595101955343,177.9297978164658,10.0,0.05676079302977791,0.1084626740193254,72,12.8,4.0,230,19.952413364680886,19.47761853878042,3.801304331358077e-06,7.774629568516278,0.0,1.3680555555555556,1.4305555555555556,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,2,4,0,,False,0.5,0,0.0,1.0,3.160694670195574,0.9683930532980443,177.81175484031598,5.011982614416301,0.09787330485782314,0.18183741512086649,64,11.4,4.0,213,20.456731343685476,19.755023493848793,3.870892005536963e-06,7.760982711945359,0.005291005291005291,1.359375,1.484375,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,3,4,0,,False,0.5,0,0.0,1.0,8.704990517445953,0.9129500948255405,162.84050605652587,8.628302010443575,0.13863444213250045,0.20590215700512765,58,12.600000000000001,4.0,227,19.496678357020986,18.909953606696686,3.963876681339246e-06,7.869971095848032,0.0,2.0,2.0,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,4,4,0,,False,0.5,0,0.0,1.0,3.0121869458805683,0.9698781305411943,178.48177267866876,10.0,0.10903996606489726,0.17392138516171993,65,11.8,4.0,220,20.062409034272257,19.207209551947862,3.9586363031544765e-06,7.774069684669504,0.0,1.3461538461538463,1.4615384615384615,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,5,4,0,,False,0.5,0,0.0,1.0,2.891472871348011,0.9710852712865199,173.8436601836298,10.0,0.045309367401901474,0.09985876479185908,69,11.9,4.0,220,19.783135257659456,19.35509126873965,3.875000030265338e-06,7.784064161786238,0.0,1.355072463768116,1.4492753623188406,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,6,4,0,,False,0.5,0,0.0,1.0,2.8449597387119385,0.9715504026128806,177.30027337549504,10.0,0.046887172791517294,0.12417213973193668,65,11.700000000000001,4.0,218,20.02028833185147,19.80536397067585,3.921101028310592e-06,7.785470694702052,0.0,1.3461538461538463,1.4615384615384615,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,7,4,0,,False,0.5,0,0.0,1.0,7.1034098360177715,0.9289659016398223,169.1863127824696,7.916354528679912,0.13237808710063093,0.20284075769811413,50,11.4,4.0,212,19.83071896281794,19.38110638238398,4.062264151626842e-06,7.85383541358702,0.0,2.22,2.44,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,8,4,0,,False,0.5,0,0.0,1.0,5.341108037176189,0.9465889196282381,175.44861883394,7.756740620630065,0.192033591496817,0.27044851102382494,60,12.8,4.0,228,20.369887104068145,19.764078848637112,3.893859580753008e-06,7.826709558034144,0.005571030640668524,2.1666666666666665,2.1666666666666665,nan,nan,1.0,30,30,C2_auc_noIR,4
auc,9,4,0,,False,0.5,0,0.0,1.0,2.353063724732729,0.9764693627526727,178.57359388516207,9.271281734002333,0.11631818918005238,0.20325779113951065,67,11.700000000000001,4.0,219,19.92105203220522,19.35153246946689,3.817351719353361e-06,7.710160279794018,0.0,1.0,1.0,nan,nan,1.0,30,30,C2_auc_noIR,4
