solver,seed,max_spawn,traffic_density,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,config,spawn,density,vph
auc,14,50,0.3,0,,False,0.5,0,0.0,1.0,9.185471871018647,0.9081452812898135,166.4396295886788,8.259512946762776,0.19447278841513344,0.3476865494691822,498,58.1,50.0,682,19.401623667063067,17.825441151028958,1.1467301205505244e-05,7.837139064603161,0.021217871312747973,3.4732262382864794,3.7991967871485945,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,15,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,6.465032209586685,0.9353496779041331,174.5678812363828,8.513978887282276,0.25265442078099143,2.7978485085839644,16,14.8,0.0,148,19.565527475674234,17.152710760444826,9.858108053260759e-06,7.760496993293158,0.036571428571428574,4.0,4.0,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,16,50,0.3,0,,False,0.5,0,0.0,1.0,9.639849996164408,0.9036015000383559,163.41262362419013,8.509476031270902,0.13464102328952057,0.210794112967642,503,56.6,50.0,668,19.72970339653469,18.679862968151564,9.804043460854825e-06,7.8641243851863125,0.009413067552602437,2.9479787939032476,3.0874751491053676,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,17,50,0.3,0,,False,0.5,0,0.0,1.0,8.374424388222135,0.9162557561177787,165.64146883384058,9.183560713852046,0.14616392839792258,0.28198185061301595,545,60.5,50.0,706,19.623600924097683,18.25846593246066,8.745892576889133e-06,7.862082282201889,0.015498015498015497,2.6192660550458715,2.8256880733944953,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,18,50,0.3,1,planner_abort,False,0.5,0,0.0,1.0,0.0,1.0,nan,7.927424970641087,0.9185101053220454,10.42087577805025,0,4.5,0.0,45,18.881046990318296,11.647185871782451,7.111113518476486e-06,7.016238824363347,0.22560975609756098,nan,nan,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,19,50,0.3,0,,False,0.5,0,0.0,1.0,8.406420581448405,0.915935794185516,165.61867504917254,9.040710088217308,0.14922350364256468,0.30717981082330836,517,58.5,50.0,687,19.63406530805105,18.588980989719072,1.0860700643549537e-05,7.7840516061908005,0.04076252281484486,2.4661508704061896,2.7756286266924564,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,20,50,0.3,0,,False,0.5,0,0.0,1.0,8.401526660457204,0.915984733395428,165.90676960623372,9.064383759040359,0.14984943431638784,0.24185824386354887,515,56.5,50.0,666,19.529876840994817,18.47764120863373,1.154925119042307e-05,7.851325415996534,0.012542759407069556,2.740776699029126,3.015533980582524,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,21,50,0.3,0,,False,0.5,0,0.0,1.0,7.860362290155942,0.9213963770984406,167.2878431847936,8.733517623044968,0.14742519494631692,0.2449409190580713,550,60.900000000000006,50.0,711,19.669985658571623,18.541362240000026,9.004500908737822e-06,7.807058235668459,0.02181967888019761,2.4072727272727272,2.6145454545454547,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,22,50,0.3,0,,False,0.5,0,0.0,1.0,8.795132857107102,0.912048671428929,164.44284076477282,8.66550690663594,0.1206685794015989,0.20174027539540007,544,60.5,50.0,706,19.764704665258005,18.835824795661264,1.297280404758943e-05,7.837102380422165,0.015287958115183246,2.333333333333333,2.5220588235294117,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
auc,23,50,0.3,0,,False,0.5,0,0.0,1.0,8.613968773791159,0.9138603122620884,166.3670495218257,8.672914014313365,0.1496554963260907,0.23712559950082385,524,59.800000000000004,50.0,696,19.715340220242016,18.434822281191448,9.553015801450773e-06,7.859710861832804,0.020105406988092916,2.991412213740458,3.2080152671755724,nan,nan,0.7333333333333333,22,30,C2_auc_noIR,50,0.3,1100
